scan,rater_1,rater_2,rater_3,rater_4
sub-100095___,yes,yes,yes,yes
sub-100440___,no,no,yes,yes
sub-100451___,no,no,yes,yes
sub-100458___,yes,yes,yes,yes
sub-100494___,yes,yes,yes,yes
sub-100496___,yes,yes,yes,no
sub-100597___,yes,yes,yes,yes
sub-100640___,no,no,no,no
sub-100772___,yes,yes,yes,no
sub-100787___,yes,yes,yes,yes
sub-101049___,yes,yes,yes,yes
sub-101264___,yes,yes,yes,no
sub-101459___,yes,yes,yes,yes
sub-101469___,yes,yes,yes,yes
sub-101690___,no,no,no,no
sub-101973___,yes,yes,yes,yes
sub-102087___,yes,yes,yes,yes
sub-102277___,yes,yes,yes,yes
sub-102295___,yes,yes,yes,yes
sub-102320___,yes,yes,yes,yes
sub-102406___,yes,yes,yes,yes
sub-102412___,no,yes,no,no
sub-102436___,yes,yes,yes,yes
sub-102502___,yes,yes,yes,yes
sub-102578___,yes,yes,yes,yes
sub-102608___,yes,yes,yes,yes
sub-102708___,yes,yes,yes,yes
sub-102796___,no,no,no,no
sub-102837___,yes,yes,yes,yes
sub-103034___,yes,yes,yes,yes
sub-103115___,no,no,yes,yes
sub-103164___,yes,yes,yes,yes
sub-103214___,yes,yes,yes,yes
sub-103283___,yes,yes,yes,yes
sub-103287___,yes,yes,yes,yes
sub-103290___,no,no,no,yes
sub-103455___,yes,no,yes,yes
sub-103590___,yes,yes,yes,yes
sub-103777___,yes,yes,yes,yes
sub-103803___,yes,yes,yes,yes
sub-103903___,yes,yes,yes,yes
sub-103925___,yes,yes,yes,yes
sub-104062___,yes,yes,yes,yes
sub-104077___,yes,yes,yes,yes
sub-104482___,yes,yes,yes,yes
sub-104578___,yes,yes,yes,yes
sub-104628___,yes,yes,yes,yes
sub-104705___,yes,yes,yes,yes
sub-104783___,no,no,no,no
sub-104912___,no,no,no,no
sub-104960___,yes,yes,yes,yes
sub-104962___,no,no,no,no
sub-105016___,yes,yes,yes,yes
sub-105097___,yes,yes,yes,yes
sub-105243___,yes,yes,yes,yes
sub-105276___,yes,yes,yes,yes
sub-105289___,yes,yes,yes,yes
sub-105416___,no,no,no,yes
sub-105422___,yes,yes,yes,yes
sub-105479___,yes,yes,yes,yes
sub-105484___,yes,yes,yes,yes
sub-105513___,no,no,yes,yes
sub-105623___,no,no,yes,yes
sub-105672___,no,no,yes,no
sub-105773___,yes,yes,yes,yes
sub-105783___,yes,yes,yes,yes
sub-106023___,yes,yes,yes,yes
sub-106124___,yes,no,yes,yes
sub-106200___,yes,yes,yes,yes
sub-106343___,yes,yes,yes,yes
sub-106438___,yes,yes,yes,yes
sub-106566___,yes,yes,yes,yes
sub-106610___,yes,yes,yes,yes
sub-106635___,yes,yes,yes,yes
sub-106641___,yes,yes,yes,yes
sub-106920___,maybe,yes,yes,yes
sub-106954___,yes,yes,yes,yes
sub-107061___,yes,yes,yes,yes
sub-107132___,no,no,no,no
sub-107155___,yes,yes,yes,yes
sub-107318___,yes,yes,yes,yes
sub-107367___,yes,yes,yes,yes
sub-107442___,yes,yes,yes,yes
sub-107499___,yes,yes,yes,yes
sub-107684___,yes,yes,yes,yes
sub-107968___,yes,yes,yes,yes
sub-108082___,yes,yes,yes,yes
sub-108122___,yes,yes,yes,yes
sub-108245___,yes,yes,yes,yes
sub-108253___,no,no,no,yes
sub-108411___,no,no,no,no
sub-108413___,yes,yes,yes,yes
sub-108574___,yes,yes,yes,yes
sub-108752___,yes,yes,yes,yes
sub-108762___,yes,yes,yes,yes
sub-108833___,no,no,no,yes
sub-108859___,no,no,yes,yes
sub-109115___,yes,yes,yes,yes
sub-109156___,yes,yes,yes,yes
sub-109453___,yes,yes,yes,yes
sub-109542___,no,no,no,no
sub-109757___,yes,yes,yes,yes
sub-109995___,no,no,no,no
sub-110012___,yes,yes,yes,yes
sub-110028___,no,no,no,no
sub-110155___,yes,yes,yes,yes
sub-110250___,no,no,no,no
sub-110386___,yes,yes,yes,yes
sub-110633___,no,no,no,no
sub-110654___,yes,yes,yes,yes
sub-110796___,yes,yes,yes,yes
sub-111174___,no,no,no,no
sub-111196___,yes,yes,yes,yes
sub-111232___,no,no,no,yes
sub-111308___,no,no,no,yes
sub-111395___,no,no,no,no
sub-111397___,yes,yes,yes,yes
sub-111413___,maybe,yes,yes,yes
sub-111482___,no,no,yes,no
sub-111621___,no,no,no,no
sub-111668___,yes,yes,yes,yes
sub-111702___,yes,yes,yes,yes
sub-111712___,yes,yes,yes,yes
sub-111902___,no,no,no,no
sub-111947___,no,no,no,no
sub-112035___,no,no,no,yes
sub-112077___,yes,yes,yes,yes
sub-112178___,yes,no,yes,yes
sub-112312___,yes,no,yes,yes
sub-112357___,yes,yes,yes,yes
sub-112451___,yes,yes,yes,yes
sub-112469___,no,no,no,no
sub-112600___,yes,yes,yes,yes
sub-112650___,no,yes,yes,yes
sub-112700___,yes,yes,yes,yes
sub-112761___,yes,yes,yes,yes
sub-112790___,yes,yes,yes,yes
sub-112803___,yes,yes,yes,yes
sub-112829___,yes,yes,yes,yes
sub-112926___,yes,yes,yes,yes
sub-113051___,yes,yes,yes,yes
sub-113116___,no,no,no,yes
sub-113167___,maybe,yes,yes,yes
sub-113187___,yes,yes,yes,yes
sub-113220___,yes,yes,yes,yes
sub-113384___,no,no,no,no
sub-113389___,no,no,no,no
sub-113504___,yes,yes,yes,yes
sub-113553___,yes,yes,yes,yes
sub-113724___,yes,yes,yes,yes
sub-113841___,yes,yes,yes,yes
sub-113857___,yes,yes,yes,yes
sub-113917___,no,no,no,no
sub-113931___,yes,yes,yes,yes
sub-113947___,yes,yes,yes,yes
sub-114255___,yes,yes,yes,yes
sub-114276___,yes,yes,yes,yes
sub-114395___,yes,yes,yes,yes
sub-114400___,yes,yes,yes,yes
sub-114455___,yes,yes,yes,yes
sub-114614___,yes,yes,yes,yes
sub-114868___,yes,yes,yes,yes
sub-114933___,no,no,no,no
sub-115057___,yes,yes,yes,yes
sub-115112___,yes,yes,yes,yes
sub-115138___,no,no,no,no
sub-115160___,no,no,no,no
sub-115287___,yes,no,yes,no
sub-115550___,no,no,no,no
sub-115569___,no,no,no,no
sub-115596___,yes,yes,yes,yes
sub-115734___,no,no,no,yes
sub-115865___,yes,yes,yes,yes
sub-115906___,yes,yes,yes,yes
sub-116007___,no,yes,yes,yes
sub-116118___,yes,yes,yes,yes
sub-116264___,yes,yes,yes,yes
sub-116362___,no,no,no,yes
sub-116496___,yes,yes,yes,yes
sub-116697___,no,no,no,yes
sub-116801___,yes,yes,yes,yes
sub-116935___,yes,yes,yes,yes
sub-116964___,no,no,no,yes
sub-117033___,no,no,no,no
sub-117127___,yes,yes,yes,yes
sub-117452___,maybe,yes,yes,yes
sub-117611___,yes,yes,yes,yes
sub-117680___,no,no,no,yes
sub-117782___,yes,yes,yes,yes
sub-117891___,yes,yes,yes,yes
sub-117947___,yes,yes,yes,yes
sub-117987___,yes,yes,yes,yes
sub-118059___,yes,yes,yes,yes
sub-118256___,yes,yes,yes,yes
sub-118426___,yes,yes,yes,yes
sub-118430___,no,no,no,no
sub-118509___,yes,yes,yes,yes
sub-118874___,yes,yes,yes,yes
sub-118899___,no,no,no,yes
sub-119074___,yes,yes,yes,yes
sub-119294___,yes,no,yes,yes
sub-119347___,yes,yes,yes,yes
sub-119429___,yes,yes,yes,yes
sub-119488___,yes,yes,yes,yes
sub-119552___,no,no,no,yes
sub-119590___,yes,yes,yes,yes
sub-119630___,yes,yes,yes,yes
sub-119647___,no,no,no,yes
sub-119732___,yes,yes,yes,yes
sub-119865___,yes,yes,yes,yes
sub-120252___,no,no,yes,yes
sub-120377___,yes,yes,yes,yes
sub-120400___,yes,yes,yes,yes
sub-120406___,yes,yes,yes,yes
sub-120513___,yes,yes,yes,yes
sub-120555___,yes,yes,yes,yes
sub-120579___,yes,yes,yes,yes
sub-120654___,yes,yes,yes,yes
sub-120689___,yes,yes,yes,yes
sub-120693___,yes,yes,yes,yes
sub-120761___,no,no,no,yes
sub-120928___,no,no,no,no
sub-120987___,yes,yes,yes,yes
sub-121003___,yes,yes,yes,yes
sub-121179___,yes,yes,yes,yes
sub-121322___,no,no,no,no
sub-121422___,yes,yes,yes,yes
sub-121473___,yes,yes,yes,yes
sub-121657___,yes,yes,yes,yes
sub-121690___,yes,yes,yes,yes
sub-121705___,yes,yes,yes,yes
sub-121723___,no,yes,yes,yes
sub-121781___,no,yes,yes,yes
sub-122030___,yes,yes,yes,yes
sub-122085___,yes,yes,yes,yes
sub-122376___,no,yes,yes,yes
sub-122455___,yes,yes,yes,yes
sub-122472___,yes,yes,yes,yes
sub-122584___,yes,yes,yes,yes
sub-122704___,yes,yes,yes,yes
sub-122906___,no,yes,no,yes
sub-122916___,no,no,no,no
sub-123023___,yes,yes,yes,yes
sub-123228___,yes,yes,yes,yes
sub-123781___,yes,yes,yes,yes
sub-123801___,yes,yes,yes,yes
sub-123895___,yes,yes,yes,yes
sub-124162___,yes,yes,yes,yes
sub-124188___,yes,yes,yes,yes
sub-124354___,no,no,no,no
sub-124378___,no,no,no,no
sub-124766___,no,yes,yes,yes
sub-125191___,yes,yes,yes,yes
sub-125241___,no,no,yes,yes
sub-125253___,yes,yes,yes,yes
sub-125287___,no,no,no,no
sub-125288___,yes,yes,yes,yes
sub-125381___,yes,yes,yes,yes
sub-125544___,yes,yes,yes,yes
sub-125682___,no,no,no,yes
sub-125765___,yes,yes,yes,yes
sub-125780___,no,no,no,no
sub-125967___,yes,yes,yes,yes
sub-126013___,no,no,no,no
sub-126152___,maybe,yes,yes,yes
sub-126164___,no,no,no,no
sub-126575___,yes,yes,yes,yes
sub-126639___,yes,yes,yes,yes
sub-126783___,no,no,yes,yes
sub-127001___,yes,yes,yes,yes
sub-127438___,no,no,no,no
sub-127516___,yes,yes,yes,yes
sub-127597___,yes,yes,yes,yes
sub-127670___,yes,yes,yes,yes
sub-127952___,yes,yes,yes,yes
sub-128043___,no,no,no,no
sub-128046___,yes,yes,yes,yes
sub-128243___,no,no,no,no
sub-128323___,yes,yes,yes,yes
sub-128351___,yes,yes,yes,yes
sub-128651___,no,no,yes,no
sub-128708___,no,no,no,yes
sub-128781___,no,yes,yes,yes
sub-129050___,yes,yes,yes,yes
sub-129140___,yes,yes,yes,yes
sub-129234___,yes,yes,yes,yes
sub-129238___,yes,yes,yes,yes
sub-129341___,yes,yes,yes,yes
sub-129478___,yes,yes,yes,yes
sub-129511___,no,no,no,no
sub-129559___,no,no,no,no
sub-129798___,yes,yes,yes,yes
sub-130180___,no,no,no,no
sub-130182___,yes,yes,yes,yes
sub-130304___,yes,yes,yes,yes
sub-130505___,no,no,no,no
sub-130509___,no,no,no,no
sub-130649___,yes,yes,yes,yes
sub-130734___,yes,yes,yes,yes
sub-130746___,yes,yes,yes,yes
sub-130760___,yes,yes,yes,yes
sub-130766___,yes,yes,yes,yes
sub-130869___,no,no,no,yes
sub-131209___,yes,yes,yes,yes
sub-131236___,yes,yes,yes,yes
sub-131317___,no,no,no,yes
sub-131321___,yes,yes,yes,yes
sub-131607___,yes,yes,yes,yes
sub-131742___,yes,yes,yes,yes
sub-131870___,yes,yes,yes,yes
sub-132043___,yes,yes,yes,yes
sub-132048___,no,no,yes,yes
sub-132070___,yes,yes,yes,yes
sub-132176___,yes,no,yes,yes
sub-132229___,yes,yes,yes,yes
sub-132356___,no,no,no,yes
sub-132387___,no,no,no,no
sub-132441___,maybe,yes,yes,yes
sub-132630___,yes,yes,yes,yes
sub-132688___,yes,yes,yes,yes
sub-132759___,yes,yes,yes,yes
sub-132999___,yes,yes,yes,yes
sub-133002___,yes,yes,yes,yes
sub-133273___,yes,yes,yes,yes
sub-133459___,no,yes,yes,yes
sub-133558___,yes,yes,yes,yes
sub-133639___,yes,yes,yes,yes
sub-133957___,yes,yes,yes,yes
sub-133991___,yes,yes,yes,yes
sub-133998___,yes,yes,yes,yes
sub-134004___,no,no,no,no
sub-134040___,yes,yes,yes,yes
sub-134204___,no,no,no,no
sub-134245___,maybe,yes,yes,yes
sub-134288___,yes,yes,yes,yes
sub-134308___,yes,yes,yes,yes
sub-134317___,yes,yes,yes,yes
sub-134410___,no,yes,yes,yes
sub-134520___,yes,yes,yes,yes
sub-134607___,yes,yes,yes,yes
sub-200073___,no,no,yes,yes
sub-200397___,no,yes,yes,yes
sub-200446___,yes,yes,yes,yes
sub-200817___,yes,yes,yes,yes
sub-200823___,yes,yes,yes,yes
sub-200902___,yes,yes,yes,yes
sub-200913___,no,no,yes,yes
sub-200939___,yes,yes,yes,yes
sub-200981___,yes,yes,yes,yes
sub-201315___,yes,yes,yes,yes
sub-201450___,yes,yes,yes,yes
sub-201642___,yes,yes,yes,yes
sub-201819___,yes,yes,yes,yes
sub-201990___,yes,yes,yes,yes
sub-202164___,yes,yes,yes,yes
sub-202197___,yes,yes,yes,yes
sub-202328___,yes,yes,yes,yes
sub-202639___,no,no,no,no
sub-202874___,yes,yes,yes,yes
sub-203011___,yes,yes,yes,yes
sub-204011___,yes,yes,yes,yes
sub-204085___,yes,yes,yes,yes
sub-204137___,yes,yes,yes,yes
sub-204180___,no,no,no,no
sub-204302___,yes,yes,yes,yes
sub-204394___,yes,yes,yes,yes
sub-204417___,no,yes,yes,yes
sub-204594___,yes,yes,yes,yes
sub-204670___,yes,yes,yes,yes
sub-204796___,yes,yes,yes,yes
sub-204955___,yes,yes,yes,yes
sub-205031___,no,no,no,no
sub-205074___,yes,yes,yes,yes
sub-205160___,no,no,yes,yes
sub-205202___,yes,yes,yes,yes
sub-205479___,yes,yes,yes,yes
sub-205595___,yes,yes,yes,yes
sub-205600___,yes,yes,yes,yes
sub-205610___,no,yes,yes,yes
sub-205652___,yes,yes,yes,yes
sub-205693___,yes,yes,yes,yes
sub-205743___,yes,yes,yes,yes
sub-206319___,yes,yes,yes,yes
sub-206394___,yes,yes,yes,yes
sub-206750___,yes,yes,yes,yes
sub-206813___,yes,yes,yes,yes
sub-206869___,yes,yes,yes,yes
sub-206884___,yes,yes,yes,yes
sub-206948___,yes,yes,yes,yes
sub-207032___,yes,yes,yes,yes
sub-207062___,yes,yes,yes,yes
sub-207137___,no,no,no,no
sub-207147___,yes,yes,yes,yes
sub-207226___,yes,yes,yes,yes
sub-207422___,no,no,yes,no
sub-207556___,yes,yes,yes,yes
sub-208119___,yes,yes,yes,yes
sub-208189___,yes,yes,yes,yes
sub-208306___,yes,yes,yes,yes
sub-208447___,no,no,no,no
sub-208497___,yes,yes,yes,yes
sub-208546___,yes,yes,yes,yes
sub-208549___,yes,yes,yes,yes
sub-208571___,yes,yes,yes,yes
sub-208622___,yes,yes,yes,yes
sub-209265___,yes,yes,yes,yes
sub-209392___,yes,yes,yes,yes
sub-209656___,no,no,no,no
sub-209729___,yes,yes,yes,yes
sub-209761___,no,no,no,yes
sub-209772___,no,no,no,no
sub-209873___,yes,yes,yes,yes
sub-210018___,yes,yes,yes,yes
sub-210157___,yes,yes,yes,yes
sub-210193___,maybe,yes,yes,yes
sub-210247___,no,no,yes,yes
sub-210303___,no,yes,yes,yes
sub-210645___,yes,yes,yes,yes
sub-210715___,yes,yes,yes,yes
sub-210786___,yes,yes,yes,yes
sub-210941___,yes,yes,yes,yes
sub-211102___,yes,yes,yes,yes
sub-211174___,yes,yes,yes,yes
sub-211357___,yes,yes,yes,yes
sub-211476___,yes,yes,yes,yes
sub-211775___,yes,yes,yes,yes
sub-211895___,yes,yes,yes,yes
sub-211910___,yes,yes,yes,yes
sub-212006___,yes,yes,yes,yes
sub-212325___,yes,yes,yes,yes
sub-212425___,yes,yes,yes,yes
sub-212432___,yes,yes,yes,yes
sub-212607___,yes,yes,yes,yes
sub-212814___,yes,yes,yes,yes
sub-212855___,yes,yes,yes,yes
sub-212907___,yes,yes,yes,yes
sub-213016___,yes,yes,yes,yes
sub-213372___,yes,yes,yes,yes
sub-213395___,yes,yes,yes,yes
sub-213706___,yes,yes,yes,yes
sub-213738___,no,no,no,no
sub-213782___,no,yes,yes,yes
sub-214085___,yes,yes,yes,yes
sub-214089___,no,yes,yes,yes
sub-214291___,yes,yes,yes,yes
sub-214440___,yes,yes,yes,yes
sub-214599___,yes,yes,yes,yes
sub-214827___,yes,yes,yes,yes
sub-214991___,yes,yes,yes,yes
sub-215020___,yes,yes,yes,yes
sub-215288___,no,no,no,no
sub-215428___,yes,yes,yes,yes
sub-215523___,yes,yes,yes,yes
sub-215678___,yes,yes,yes,yes
sub-215713___,yes,yes,yes,yes
sub-216059___,yes,no,yes,no
sub-216110___,no,no,yes,yes
sub-216149___,yes,yes,yes,yes
sub-216218___,no,no,no,no
sub-216273___,yes,yes,yes,yes
sub-216557___,yes,yes,yes,yes
sub-216675___,yes,yes,yes,yes
sub-216832___,yes,yes,yes,yes
sub-217169___,yes,yes,yes,yes
sub-217221___,no,no,yes,yes
sub-217311___,yes,yes,yes,yes
sub-217460___,yes,yes,yes,yes
sub-217557___,yes,yes,yes,yes
sub-217724___,no,no,no,no
sub-217753___,yes,yes,yes,yes
sub-218086___,yes,yes,yes,yes
sub-218149___,no,no,no,no
sub-218250___,no,no,no,no
sub-218445___,yes,yes,yes,yes
sub-218615___,yes,yes,yes,yes
sub-218630___,yes,yes,yes,yes
sub-218659___,yes,yes,yes,yes
sub-218690___,yes,yes,yes,yes
sub-218722___,yes,yes,yes,yes
sub-218893___,yes,yes,yes,yes
