scan,rater_1,rater_2,rater_3,rater_4
sub-4146_ses-baseline__,yes,yes,yes,yes
sub-4159_ses-baseline__,yes,yes,yes,yes
sub-4178_ses-baseline__,no,yes,yes,yes
sub-4189_ses-baseline__,yes,yes,yes,yes
sub-4198_ses-baseline__,yes,yes,yes,yes
sub-4202_ses-baseline__,yes,yes,yes,yes
sub-4234_ses-baseline__,yes,yes,yes,yes
sub-4289_ses-baseline__,yes,yes,yes,yes
sub-4313_ses-baseline__,yes,yes,yes,yes
sub-4367_ses-baseline__,yes,yes,yes,yes
sub-4382_ses-baseline__,no,yes,maybe,no
sub-4392_ses-baseline__,yes,yes,yes,yes
sub-4393_ses-baseline__,maybe,yes,yes,yes
sub-4405_ses-baseline__,yes,yes,yes,yes
sub-4409_ses-baseline__run-1,yes,yes,yes,yes
sub-4415_ses-baseline__run-1,no,yes,yes,yes
sub-4417_ses-baseline__,yes,yes,yes,yes
sub-4420_ses-baseline__run-2,no,yes,maybe,no
sub-4430_ses-baseline__,yes,yes,yes,yes
sub-4438_ses-baseline__,yes,yes,yes,yes
sub-4457_ses-baseline__,yes,yes,yes,yes
sub-4493_ses-baseline__,no,yes,yes,yes
sub-4516_ses-baseline__,yes,yes,yes,yes
sub-4542_ses-baseline__,yes,yes,yes,yes
sub-4551_ses-baseline__,no,yes,yes,yes
sub-4582_ses-baseline__,yes,yes,yes,yes
sub-4624_ses-baseline__,yes,yes,yes,yes
sub-4632_ses-baseline__,yes,yes,yes,yes
sub-4644_ses-baseline__,yes,yes,yes,yes
sub-4686_ses-baseline__,yes,yes,yes,yes
sub-4714_ses-baseline__,yes,yes,yes,yes
sub-4720_ses-month24__,yes,yes,yes,yes
sub-4750_ses-month24__,yes,yes,yes,yes
sub-4759_ses-baseline__,yes,yes,yes,yes
sub-4766_ses-month24__,yes,yes,yes,yes
sub-4781_ses-baseline__,yes,yes,yes,yes
sub-4785_ses-baseline__,no,no,no,no
sub-4823_ses-month24__,yes,yes,yes,yes
sub-4826_ses-month24__,yes,yes,yes,yes
sub-4842_ses-baseline__,yes,yes,yes,yes
sub-4848_ses-baseline__,yes,yes,yes,yes
sub-4864_ses-baseline__,no,yes,yes,yes
sub-4872_ses-baseline__,yes,yes,yes,yes
sub-4908_ses-month24__,yes,yes,yes,yes
sub-4917_ses-baseline__,yes,yes,yes,yes
sub-4950_ses-baseline__,yes,yes,yes,yes
sub-4955_ses-month24__,no,yes,yes,yes
sub-4957_ses-month24__,no,yes,yes,yes
sub-4995_ses-baseline__,yes,yes,yes,yes
sub-5507_ses-baseline__,yes,yes,yes,yes
sub-5579_ses-baseline__,yes,yes,yes,yes
sub-5614_ses-baseline__,yes,yes,yes,yes
sub-5688_ses-baseline__,yes,yes,yes,yes
sub-5737_ses-baseline__,yes,yes,yes,yes
sub-5757_ses-baseline__,yes,yes,yes,yes
sub-5797_ses-baseline__,yes,yes,yes,yes
sub-5815_ses-baseline__,yes,yes,yes,yes
sub-5819_ses-baseline__,yes,yes,yes,yes
sub-5826_ses-baseline__,yes,yes,yes,yes
sub-5854_ses-baseline__,yes,yes,yes,yes
sub-5869_ses-baseline__,yes,yes,yes,yes
sub-5882_ses-baseline__,yes,yes,yes,yes
sub-5928_ses-baseline__,yes,yes,yes,yes
sub-5930_ses-baseline__,yes,yes,yes,yes
sub-5939_ses-baseline__,yes,yes,yes,yes
sub-5942_ses-baseline__,yes,yes,yes,yes
sub-5946_ses-baseline__,yes,yes,yes,yes
sub-5969_ses-baseline__,yes,yes,yes,yes
sub-6049_ses-baseline__,yes,yes,yes,yes
sub-6112_ses-baseline__,yes,yes,yes,yes
sub-6137_ses-baseline__,yes,yes,yes,yes
sub-6144_ses-baseline__,yes,yes,yes,yes
sub-6164_ses-baseline__,yes,yes,yes,yes
sub-6216_ses-baseline__,yes,yes,yes,yes
sub-6272_ses-baseline__,yes,yes,yes,yes
sub-6287_ses-baseline__,yes,yes,yes,yes
sub-6313_ses-baseline__,yes,yes,yes,yes
sub-6327_ses-baseline__,yes,yes,yes,yes
sub-6336_ses-baseline__,yes,yes,yes,yes
sub-6357_ses-baseline__,yes,yes,yes,yes
sub-6358_ses-baseline__,yes,yes,yes,yes
sub-6366_ses-baseline__,yes,yes,yes,yes
sub-6374_ses-baseline__,yes,yes,yes,yes
sub-6399_ses-baseline__,yes,yes,yes,yes
sub-6407_ses-baseline__,yes,yes,yes,yes
sub-6412_ses-baseline__,yes,yes,yes,yes
sub-6415_ses-baseline__,yes,yes,yes,yes
sub-6514_ses-baseline__,yes,yes,yes,yes
sub-6524_ses-baseline__,yes,yes,yes,yes
sub-6525_ses-baseline__,yes,yes,yes,yes
sub-6561_ses-baseline__,yes,yes,yes,yes
sub-6567_ses-baseline__,yes,yes,yes,yes
sub-6594_ses-baseline__,yes,yes,yes,yes
sub-6600_ses-baseline__,yes,yes,yes,yes
sub-6610_ses-baseline__,yes,yes,yes,yes
sub-6652_ses-baseline__,yes,yes,yes,yes
sub-6665_ses-baseline__,yes,yes,yes,yes
sub-6693_ses-baseline__,yes,yes,yes,yes
sub-6737_ses-baseline__,no,yes,no,no
sub-6741_ses-baseline__,yes,yes,yes,yes
sub-6752_ses-baseline__,yes,yes,yes,yes
sub-6777_ses-baseline__,yes,yes,yes,yes
sub-6789_ses-baseline__,yes,yes,yes,yes
sub-6794_ses-baseline__,yes,yes,yes,yes
sub-6800_ses-baseline__,yes,yes,yes,yes
sub-6822_ses-baseline__,no,yes,no,no
sub-6847_ses-baseline__,yes,yes,yes,yes
sub-6869_ses-baseline__,yes,yes,yes,yes
sub-6898_ses-baseline__,yes,yes,yes,yes
sub-6904_ses-baseline__,yes,yes,yes,yes
sub-6909_ses-baseline__,yes,yes,yes,yes
sub-6986_ses-baseline__,yes,yes,yes,yes
sub-7000_ses-baseline__,yes,yes,yes,yes
sub-7004_ses-baseline__,yes,yes,yes,yes
sub-7069_ses-baseline__run-1,yes,yes,no,no
sub-7075_ses-baseline__,yes,yes,yes,yes
sub-7086_ses-month24__,yes,yes,yes,yes
sub-7119_ses-baseline__,yes,yes,yes,yes
sub-7138_ses-month24__,yes,yes,yes,yes
sub-7157_ses-baseline__,yes,yes,yes,yes
sub-7164_ses-baseline__,no,yes,yes,yes
sub-7177_ses-baseline__,yes,yes,yes,yes
sub-7182_ses-baseline__,yes,yes,yes,yes
sub-7184_ses-month24__,yes,yes,yes,yes
sub-7229_ses-baseline__,yes,yes,yes,yes
sub-7258_ses-baseline__,yes,yes,yes,yes
sub-7260_ses-baseline__,yes,yes,yes,yes
sub-7273_ses-baseline__,yes,yes,yes,yes
sub-7278_ses-baseline__,yes,yes,yes,yes
sub-7283_ses-baseline__,yes,yes,yes,yes
sub-7334_ses-baseline__,yes,yes,yes,yes
sub-7342_ses-baseline__,yes,yes,yes,yes
sub-7348_ses-baseline__,yes,yes,yes,yes
sub-7364_ses-month24__,yes,yes,yes,yes
sub-7369_ses-baseline__,yes,yes,yes,yes
sub-7371_ses-baseline__,yes,yes,yes,yes
sub-7399_ses-baseline__,yes,yes,yes,yes
sub-7405_ses-baseline__,yes,yes,yes,yes
sub-7410_ses-baseline__,yes,yes,yes,yes
sub-7427_ses-month24__,yes,yes,yes,yes
sub-7435_ses-month24__,yes,yes,yes,yes
