scan,rater_1,rater_2,rater_3,rater_4
sub-0004_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0010_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0014_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0020_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0021_ses-adni2year1_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0021_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0023_ses-adni2year2_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0031_ses-adni2year2_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0033_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0033_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0038_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0041_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0041_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0054_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0054_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0055_ses-adni2year1_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0058_ses-adni2year1_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0058_ses-adnibaseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0058_ses-adnigomonth6_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0059_ses-adni2year2_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0061_ses-adni2year2_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0061_ses-adnigomonth24_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0066_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0072_ses-adni2year1_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0077_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0081_ses-adnigomonth48_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0086_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0086_ses-adnigomonth24_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0089_ses-adnigomonth48_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0093_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0096_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0106_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0111_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0113_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0113_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0118_ses-adnigomonth36_acq-MPRAGE_run-2,no,no,no,no
sub-0120_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0120_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0123_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0123_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0125_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0125_ses-adnigomonth48_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0128_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0138_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0141_ses-adnigomonth6_acq-MPRAGE_run-3,yes,yes,yes,yes
sub-0142_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0150_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0156_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0156_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0159_ses-adni2baseline_acq-SPGR_run-3,yes,yes,yes,yes
sub-0159_ses-adni2year2_acq-SPGR_run-1,yes,yes,yes,yes
sub-0160_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0166_ses-adni2year2_acq-MPRAGE_run-2,no,no,no,no
sub-0166_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0167_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0172_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0172_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0173_ses-adni2year2_acq-MPRAGE_run-1,no,no,no,no
sub-0178_ses-adni3year2_acq-SPGR_run-1,yes,yes,yes,yes
sub-0186_ses-adni2year3_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0186_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0187_ses-adnigomonth24_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0188_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0195_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0196_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0200_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0204_ses-adnigomonth48_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0205_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0205_ses-adnigomonth18_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0219_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0232_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0240_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0256_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0257_ses-adni2year1_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0257_ses-adni2year2_acq-MPRAGE_run-1,no,no,no,no
sub-0257_ses-adnigomonth24_acq-MPRAGE_run-1,no,no,no,yes
sub-0259_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0260_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0266_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0273_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0273_ses-adnigomonth18_acq-MPRAGE_run-4,yes,yes,yes,yes
sub-0273_ses-adnigomonth36_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0283_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0284_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
