scan,rater_1,rater_2,rater_3,rater_4
sub-wrap0002_ses-baseline_acq-unknown_,yes,yes,yes,maybe
sub-wrap0012_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0012_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0012_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0012_ses-year4_acq-SPGR_,yes,no,no,no
sub-wrap0015_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0015_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0015_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0016_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0016_ses-year2_acq-unknown_,yes,yes,yes,maybe
sub-wrap0018_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0027_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0027_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0028_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0029_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0029_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0034_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0035_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0036_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0036_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0036_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0038_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0038_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0041_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0041_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0041_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0041_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0041_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0041_ses-year6_acq-unknown_,yes,yes,yes,yes
sub-wrap0044_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0044_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0059_ses-baseline_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0059_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0060_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0060_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0060_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0067_ses-baseline_acq-SPGR_,yes,maybe,yes,maybe
sub-wrap0067_ses-year2_acq-SPGR_,yes,yes,yes,maybe
sub-wrap0067_ses-year4_acq-SPGR_run-1,yes,yes,yes,yes
sub-wrap0067_ses-year4_acq-SPGR_run-2,yes,yes,yes,yes
sub-wrap0069_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0070_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrap0075_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0075_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0075_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0075_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0075_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0075_ses-year6_acq-unknown_,yes,yes,yes,yes
sub-wrap0079_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0079_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0079_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0081_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0083_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0083_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0083_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0083_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0083_ses-year5_acq-unknown_,yes,yes,yes,yes
