scan,rater_1,rater_2,rater_3,rater_4
sub-4112_ses-baseline__,yes,yes,yes,yes
sub-4117_ses-baseline__,yes,yes,yes,yes
sub-4119_ses-baseline__,yes,yes,yes,yes
sub-4121_ses-baseline__,yes,yes,yes,yes
sub-4134_ses-baseline__,yes,yes,yes,yes
sub-4137_ses-baseline__,yes,yes,yes,yes
sub-4147_ses-baseline__,yes,yes,yes,yes
sub-4164_ses-baseline__,yes,yes,yes,yes
sub-4170_ses-baseline__,yes,yes,yes,yes
sub-4178_ses-baseline__,yes,yes,yes,yes
sub-4185_ses-baseline__,yes,yes,yes,yes
sub-4191_ses-baseline__,yes,yes,yes,yes
sub-4192_ses-baseline__,yes,yes,yes,yes
sub-4199_ses-baseline__,yes,yes,yes,yes
sub-4208_ses-baseline__,yes,yes,yes,yes
sub-4210_ses-baseline__,yes,yes,yes,yes
sub-4214_ses-baseline__,yes,yes,yes,yes
sub-4221_ses-baseline__,yes,yes,yes,yes
sub-4235_ses-baseline__,yes,yes,yes,yes
sub-4238_ses-baseline__,yes,yes,yes,yes
sub-4241_ses-baseline__,yes,yes,yes,yes
sub-4242_ses-baseline__,yes,yes,yes,yes
sub-4258_ses-baseline__,yes,yes,yes,yes
sub-4267_ses-baseline__,yes,yes,yes,yes
sub-4269_ses-baseline__,yes,yes,yes,yes
sub-4276_ses-baseline__,yes,yes,yes,yes
sub-4280_ses-baseline__,yes,yes,yes,yes
sub-4286_ses-baseline__,yes,yes,yes,yes
sub-4287_ses-baseline__,yes,yes,yes,yes
sub-4288_ses-baseline__,yes,yes,yes,yes
sub-4292_ses-baseline__,yes,yes,yes,yes
sub-4298_ses-baseline__,yes,yes,yes,yes
sub-4300_ses-baseline__,yes,yes,yes,yes
sub-4301_ses-baseline__,yes,yes,yes,yes
sub-4302_ses-baseline__,yes,yes,yes,yes
sub-4305_ses-baseline__,yes,yes,yes,yes
sub-4306_ses-baseline__,yes,yes,yes,yes
sub-4308_ses-baseline__,yes,yes,no,yes
sub-4311_ses-baseline__,yes,yes,yes,yes
sub-4314_ses-baseline__,yes,yes,yes,yes
sub-4316_ses-baseline__,yes,yes,yes,yes
sub-4320_ses-baseline__,yes,yes,yes,yes
sub-4325_ses-baseline__,yes,yes,yes,yes
sub-4327_ses-baseline__,yes,yes,yes,yes
sub-4334_ses-baseline__,yes,yes,yes,yes
