scan,rater_1,rater_2,rater_3,rater_4
sub-4108_ses-baseline__,yes,yes,yes,yes
sub-4110_ses-baseline__,yes,yes,yes,yes
sub-4111_ses-baseline__,yes,yes,yes,yes
sub-4114_ses-baseline__,yes,yes,yes,yes
sub-4120_ses-baseline__,yes,yes,yes,yes
sub-4149_ses-baseline__,yes,yes,yes,yes
sub-4157_ses-baseline__,yes,yes,yes,yes
sub-4164_ses-baseline__,yes,yes,yes,yes
sub-4169_ses-baseline__,yes,yes,yes,yes
sub-4176_ses-baseline__,yes,yes,yes,yes
sub-4180_ses-baseline__,no,no,no,no
sub-4209_ses-baseline__,yes,yes,yes,yes
sub-4216_ses-baseline__,yes,yes,yes,yes
sub-4223_ses-baseline__,yes,yes,yes,yes
sub-4238_ses-baseline__,yes,yes,yes,yes
sub-4244_ses-baseline__,yes,yes,yes,yes
sub-4253_ses-baseline__,yes,yes,yes,yes
sub-4264_ses-baseline__,yes,yes,yes,yes
sub-4281_ses-baseline__,yes,yes,yes,yes
sub-4286_ses-baseline__,yes,yes,yes,yes
sub-4290_ses-baseline__,yes,yes,yes,yes
sub-4292_ses-baseline__,yes,yes,yes,yes
sub-4296_ses-baseline__,yes,yes,yes,yes
sub-4300_ses-baseline__,yes,yes,yes,yes
sub-4303_ses-baseline__,yes,yes,yes,yes
sub-4305_ses-baseline__,yes,yes,yes,yes
sub-4307_ses-baseline__,no,yes,no,no
sub-4308_ses-baseline__,yes,yes,yes,yes
sub-4318_ses-baseline__,yes,yes,yes,yes
sub-4342_ses-baseline__,no,no,no,no
sub-4348_ses-baseline__,yes,yes,yes,yes
sub-4353_ses-baseline__,yes,yes,yes,yes
sub-4369_ses-baseline__,yes,yes,yes,yes
sub-4373_ses-baseline__,no,no,no,no
sub-4374_ses-baseline__,yes,yes,yes,yes
sub-4377_ses-baseline__,yes,yes,yes,yes
sub-4379_ses-baseline__,no,yes,no,no
sub-4401_ses-baseline__,yes,yes,yes,yes
sub-4402_ses-baseline__,yes,yes,yes,yes
sub-4405_ses-baseline__,yes,yes,yes,yes
sub-4415_ses-baseline__run-1,no,no,no,no
sub-4419_ses-baseline__,yes,yes,yes,yes
sub-4420_ses-baseline__run-4,yes,yes,yes,yes
sub-4435_ses-baseline__,yes,yes,yes,yes
sub-4448_ses-baseline__,yes,yes,yes,yes
sub-4468_ses-baseline__,yes,yes,yes,yes
sub-4473_ses-baseline__,yes,yes,yes,yes
sub-4495_ses-baseline__,yes,yes,yes,yes
sub-4502_ses-baseline__,yes,yes,yes,yes
sub-4509_ses-baseline__,yes,yes,yes,yes
sub-4519_ses-baseline__,yes,yes,yes,yes
sub-4528_ses-month24__,yes,yes,yes,yes
sub-4534_ses-baseline__,no,no,no,no
sub-4537_ses-baseline__,yes,yes,yes,yes
sub-4542_ses-baseline__,yes,yes,yes,yes
sub-4544_ses-baseline__,yes,yes,yes,yes
sub-4550_ses-baseline__,yes,yes,yes,yes
sub-4551_ses-baseline__,no,no,no,no
sub-4556_ses-month24__,yes,yes,yes,yes
sub-4565_ses-baseline__,yes,yes,yes,yes
sub-4582_ses-baseline__,no,no,no,no
sub-4590_ses-baseline__,no,no,no,no
sub-4606_ses-baseline__,yes,yes,yes,yes
