scan,rater_1,rater_2,rater_3,rater_4
sub-4114_ses-baseline__,yes,yes,yes,yes
sub-4118_ses-baseline__,yes,yes,yes,yes
sub-4121_ses-baseline__,yes,yes,yes,yes
sub-4122_ses-baseline__,yes,yes,yes,yes
sub-4124_ses-baseline__,no,no,no,no
sub-4127_ses-baseline__,yes,yes,yes,yes
sub-4134_ses-baseline__,yes,yes,yes,yes
sub-4173_ses-baseline__,yes,yes,yes,yes
sub-4186_ses-baseline__,yes,yes,yes,yes
sub-4196_ses-baseline__,yes,yes,yes,no
sub-4202_ses-baseline__,yes,yes,yes,yes
sub-4215_ses-baseline__,yes,yes,yes,yes
sub-4224_ses-baseline__,yes,yes,yes,yes
sub-4227_ses-baseline__,yes,yes,yes,yes
sub-4234_ses-baseline__,yes,yes,yes,yes
sub-4240_ses-baseline__,yes,yes,yes,yes
sub-4243_ses-baseline__,yes,yes,yes,yes
sub-4245_ses-baseline__,yes,yes,yes,yes
sub-4251_ses-baseline__,yes,yes,yes,yes
sub-4255_ses-baseline__,yes,yes,yes,yes
sub-4262_ses-baseline__,yes,yes,yes,yes
sub-4275_ses-baseline__,yes,yes,yes,yes
sub-4283_ses-baseline__,yes,yes,yes,yes
sub-4298_ses-baseline__,yes,yes,yes,yes
sub-4300_ses-baseline__,yes,yes,yes,yes
sub-4306_ses-baseline__,no,no,no,no
sub-4307_ses-baseline__,no,no,no,no
sub-4314_ses-baseline__,yes,yes,yes,yes
sub-4316_ses-baseline__,yes,yes,yes,yes
sub-4320_ses-baseline__,yes,yes,yes,yes
sub-4321_ses-baseline__,no,no,no,no
sub-4329_ses-baseline__,yes,yes,yes,yes
sub-4331_ses-baseline__,yes,yes,no,yes
sub-4347_ses-baseline__,maybe,no,no,no
sub-4352_ses-baseline__,yes,yes,yes,yes
sub-4362_ses-baseline__,yes,yes,no,no
sub-4365_ses-baseline__,yes,yes,yes,yes
sub-4379_ses-baseline__,no,no,no,no
sub-4382_ses-baseline__,yes,yes,yes,yes
sub-4386_ses-baseline__,yes,yes,yes,yes
sub-4391_ses-baseline__,yes,yes,yes,yes
sub-4405_ses-baseline__,yes,yes,yes,yes
sub-4406_ses-baseline__,yes,yes,yes,yes
sub-4434_ses-baseline__,yes,yes,yes,yes
sub-4444_ses-baseline__,yes,yes,yes,yes
sub-4447_ses-baseline__,yes,yes,yes,yes
sub-4455_ses-baseline__,yes,yes,yes,yes
sub-4470_ses-baseline__,yes,yes,yes,yes
sub-4473_ses-baseline__,yes,yes,yes,yes
sub-4492_ses-baseline__,yes,yes,yes,yes
sub-4513_ses-baseline__,yes,yes,yes,yes
sub-4524_ses-baseline__,yes,yes,yes,yes
sub-4525_ses-baseline__,yes,yes,yes,yes
sub-4528_ses-baseline__,yes,yes,yes,yes
sub-4539_ses-baseline__,yes,yes,yes,yes
sub-4541_ses-baseline__,yes,yes,yes,yes
sub-4547_ses-baseline__,yes,yes,yes,yes
sub-4551_ses-baseline__,yes,yes,yes,yes
sub-4554_ses-baseline__,yes,yes,yes,yes
sub-4559_ses-baseline__,yes,yes,yes,yes
sub-4571_ses-baseline__,yes,yes,yes,yes
sub-4572_ses-baseline__,yes,yes,yes,yes
sub-4573_ses-baseline__,yes,yes,yes,yes
sub-4581_ses-baseline__,yes,yes,yes,yes
sub-4614_ses-baseline__,yes,yes,yes,yes
sub-4623_ses-baseline__,yes,yes,yes,yes
sub-4624_ses-baseline__,yes,yes,yes,yes
sub-4631_ses-baseline__,yes,yes,yes,yes
sub-4638_ses-baseline__,yes,yes,yes,yes
sub-4663_ses-baseline__,yes,yes,yes,yes
sub-4667_ses-baseline__,yes,yes,yes,yes
sub-4671_ses-baseline__,yes,yes,yes,yes
sub-4672_ses-baseline__,yes,yes,yes,yes
sub-4673_ses-baseline__,yes,yes,yes,yes
sub-4688_ses-baseline__,yes,yes,yes,yes
sub-4697_ses-month24__,yes,yes,yes,yes
sub-4709_ses-month24__,yes,yes,yes,yes
sub-4712_ses-baseline__,yes,yes,yes,yes
sub-4713_ses-baseline__,no,no,no,no
sub-4722_ses-baseline__,yes,yes,yes,yes
sub-4724_ses-baseline__,yes,yes,yes,yes
