scan,rater_1,rater_2,rater_3,rater_4
sub-4112_ses-baseline__,yes,yes,yes,yes
sub-4118_ses-baseline__,yes,yes,yes,yes
sub-4121_ses-baseline__,yes,yes,yes,yes
sub-4122_ses-baseline__,yes,yes,yes,yes
sub-4125_ses-baseline__,yes,yes,yes,yes
sub-4133_ses-baseline__,yes,yes,yes,yes
sub-4137_ses-baseline__,yes,yes,yes,yes
sub-4144_ses-baseline__,yes,yes,yes,yes
sub-4155_ses-baseline__,yes,yes,yes,yes
sub-4157_ses-baseline__,yes,yes,yes,yes
sub-4171_ses-baseline__,yes,yes,yes,yes
sub-4172_ses-baseline__,yes,yes,yes,yes
sub-4179_ses-baseline__,yes,yes,yes,yes
sub-4180_ses-baseline__,yes,yes,yes,yes
sub-4189_ses-baseline__,yes,yes,yes,yes
sub-4195_ses-baseline__,yes,yes,yes,yes
sub-4202_ses-baseline__,yes,yes,yes,yes
sub-4208_ses-baseline__,yes,yes,yes,yes
sub-4210_ses-baseline__,yes,yes,yes,yes
sub-4213_ses-baseline__,yes,yes,yes,yes
sub-4220_ses-baseline__,yes,yes,yes,yes
sub-4221_ses-baseline__,yes,yes,yes,yes
sub-4222_ses-baseline__,yes,yes,yes,yes
sub-4246_ses-baseline__,yes,yes,yes,yes
sub-4259_ses-baseline__,yes,yes,yes,yes
sub-4261_ses-baseline__,yes,yes,yes,yes
sub-4267_ses-baseline__,yes,yes,yes,yes
sub-4268_ses-baseline__,yes,yes,yes,yes
sub-4275_ses-baseline__,yes,yes,yes,yes
sub-4276_ses-baseline__,yes,yes,yes,yes
sub-4287_ses-baseline__,yes,yes,yes,yes
sub-4296_ses-baseline__,yes,yes,yes,yes
sub-4299_ses-baseline__,yes,yes,yes,yes
sub-4302_ses-baseline__,yes,yes,yes,yes
sub-4305_ses-baseline__,yes,yes,yes,yes
sub-4306_ses-baseline__,yes,yes,no,no
sub-4321_ses-baseline__,no,yes,no,no
sub-4324_ses-baseline__,yes,yes,yes,yes
sub-4329_ses-baseline__,yes,yes,yes,yes
sub-4330_ses-baseline__,yes,yes,yes,yes
sub-4341_ses-baseline__,yes,yes,yes,yes
sub-4342_ses-baseline__,no,no,no,no
sub-4354_ses-baseline__,yes,yes,yes,yes
