scan,rater_1,rater_2,rater_3,rater_4
sub-4108_ses-baseline__,no,no,no,no
sub-4124_ses-baseline__,no,yes,no,no
sub-4133_ses-baseline__,yes,yes,yes,yes
sub-4141_ses-baseline__,yes,yes,yes,yes
sub-4146_ses-baseline__,no,no,no,no
sub-4148_ses-baseline__,no,no,no,no
sub-4151_ses-baseline__,yes,yes,yes,yes
sub-4154_ses-baseline__,yes,yes,yes,yes
sub-4167_ses-baseline__,yes,yes,yes,yes
sub-4173_ses-baseline__,no,yes,no,no
sub-4180_ses-baseline__,no,no,no,no
sub-4195_ses-baseline__,yes,yes,yes,yes
sub-4245_ses-baseline__,yes,yes,yes,yes
sub-4258_ses-baseline__,yes,yes,yes,yes
sub-4280_ses-baseline__,no,yes,no,no
sub-4283_ses-baseline__,no,yes,no,no
sub-4284_ses-baseline__,maybe,yes,yes,yes
sub-4305_ses-baseline__,yes,yes,yes,yes
sub-4306_ses-baseline__,yes,yes,yes,yes
sub-4307_ses-baseline__,no,no,no,no
sub-4321_ses-baseline__,no,yes,no,no
sub-4330_ses-baseline__,yes,yes,yes,yes
sub-4336_ses-baseline__,yes,yes,yes,yes
sub-4338_ses-baseline__,no,no,yes,no
sub-4341_ses-baseline__,yes,yes,no,yes
sub-4355_ses-baseline__,yes,yes,yes,yes
sub-4358_ses-baseline__,yes,yes,yes,yes
sub-4360_ses-baseline__,yes,yes,yes,yes
sub-4376_ses-baseline__,yes,yes,yes,yes
sub-4379_ses-baseline__,no,no,no,no
sub-4392_ses-baseline__,yes,yes,yes,yes
sub-4413_ses-baseline__,yes,yes,yes,yes
sub-4415_ses-baseline__run-1,no,no,no,no
sub-4417_ses-baseline__,no,no,no,no
sub-4433_ses-baseline__,no,yes,yes,yes
sub-4438_ses-baseline__,no,no,no,no
sub-4447_ses-baseline__,yes,yes,yes,yes
sub-4470_ses-baseline__,yes,yes,yes,yes
sub-4471_ses-baseline__,yes,yes,yes,yes
sub-4504_ses-baseline__,no,no,yes,no
sub-4531_ses-baseline__,maybe,no,no,no
sub-4559_ses-baseline__,maybe,yes,yes,no
sub-4567_ses-month24__,yes,yes,yes,yes
sub-4575_ses-baseline__,no,yes,no,no
sub-4582_ses-baseline__,no,no,no,no
sub-4590_ses-baseline__,no,yes,no,no
sub-4597_ses-baseline__,yes,yes,yes,yes
sub-4606_ses-baseline__,yes,yes,yes,yes
sub-4608_ses-baseline__,yes,yes,yes,no
sub-4616_ses-baseline__,yes,yes,yes,yes
sub-4630_ses-baseline__,yes,yes,yes,yes
